2025-10-25 20:34:25,492 - INFO - AI provider configured: Heuristic
2025-10-25 20:34:26,144 - INFO - ✅ Frontier AI components loaded
2025-10-25 20:34:26,144 - INFO - 🤖 Real-time AI Analyzer initialized
2025-10-25 20:34:26,144 - INFO - 🚀 Starting real-time collection + analysis for 21 tickers
2025-10-25 20:34:26,144 - INFO -    Time window: 48 hours
2025-10-25 20:34:26,144 - INFO -    Max articles per ticker: 10
2025-10-25 20:34:26,144 - INFO - [1/21] Processing RELIANCE...
2025-10-25 20:34:26,145 - INFO - 📰 Fetching news for RELIANCE (last 48h)
2025-10-25 20:34:41,816 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5de0790>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
2025-10-25 20:34:41,817 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e159f0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
2025-10-25 20:34:41,818 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e16800>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 20:34:41,820 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e16f50>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 20:34:41,821 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e17520>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 20:34:42,564 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e17e50>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/market
2025-10-25 20:34:44,215 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd4448070>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 20:34:44,215 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd4448250>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
2025-10-25 20:34:44,219 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd4448610>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
2025-10-25 20:34:44,219 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd4449360>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rssfeeds/?id=0
2025-10-25 20:34:44,220 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd4448430>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
2025-10-25 20:34:44,220 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd4449480>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feed
2025-10-25 20:34:44,220 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd44487f0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 20:34:44,222 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd44489d0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 20:34:44,223 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd4448bb0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 20:34:44,969 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd4448d90>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/market
2025-10-25 20:34:45,424 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd44496c0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rssfeeds/?id=0
